Channel ID,Channel Title,Subscribers,Total Views,Video Count,Date
UCRijo3ddMTht_IHyNSNXpNQ,Dude Perfect,61500000,19591553645,508,2025-09-05
UCiGm_E4ZwYSHV3bcW1pnSeQ,Billie Eilish,56600000,20227072825,164,2025-09-05
UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,110000000,29400902851,4648,2025-09-05
UCbp9MyKCTEww4CxEzc_Tp0Q,Stokes Twins,131000000,25430341884,389,2025-09-05
UCOhHO2ICt0ti9KAh-QHvttQ,Technical Guruji,23700000,3889925386,5939,2025-09-05
UCYzPXprvl5Y-Sf0g4vX-m6g,jacksepticeye,31000000,17320232857,5264,2025-09-05
UCq-Fj5jknLsUf-MWSy4_brA,T-Series,302000000,310737936418,24286,2025-09-05
UCY1kMZp36IQSyNx_9h4mpCg,Mark Rober,70800000,14014016993,226,2025-09-05
UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,431000000,94189840497,897,2025-09-05
UCJplp5SjeGSdVdwsfb9Q7lQ,Like Nastya,130000000,115883256728,981,2025-09-05
UCaWd5_7JhbQBe4dknZhsHJg,WatchMojo.com,25900000,17645099360,30824,2025-09-05
UCk8GzjMOrta8yxDcKfylJYw,✿ Kids Diana Show,136000000,118730482212,1417,2025-09-05
UCbCmjCuTUZos6Inko4u57UQ,Cocomelon - Nursery Rhymes,197000000,208186897881,1694,2025-09-05
UCOmHUn--16B90oW2L6FRR3A,BLACKPINK,98700000,39962585446,635,2025-09-05
UCLkAepWjdylmXSltofFvsYQ,BANGTANTV,81300000,25790286363,2916,2025-09-05
UCFFbwnve3yF62-tVXkTyHqg,Zee Music Company,120000000,81174222481,14749,2025-09-05
UC8-Th83bH_thdKZDJCrn88g,The Tonight Show Starring Jimmy Fallon,32800000,18721063070,12764,2025-09-05
UCvlE5gTbOvjiolFlEm-c_Ow,Vlad and Niki,144000000,112000382110,937,2025-09-05
UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell,24500000,3415746562,303,2025-09-05
UCZU9T1ceaOgwfLRq7OKFU4Q,Linkin Park,24200000,18971424947,1088,2025-09-05
