Channel ID,Channel Title,Subscribers,Total Views,Video Count,Date
UCRijo3ddMTht_IHyNSNXpNQ,Dude Perfect,61500000,19568999658,506,2025-08-30
UCbp9MyKCTEww4CxEzc_Tp0Q,Stokes Twins,130000000,25293181431,388,2025-08-30
UCq-Fj5jknLsUf-MWSy4_brA,T-Series,302000000,310040909612,24226,2025-08-30
UCOhHO2ICt0ti9KAh-QHvttQ,Technical Guruji,23700000,3887291089,5933,2025-08-30
UCvlE5gTbOvjiolFlEm-c_Ow,Vlad and Niki,144000000,111782194018,936,2025-08-30
UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,110000000,29399013514,4648,2025-08-30
UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,427000000,93560230846,896,2025-08-30
UCOmHUn--16B90oW2L6FRR3A,BLACKPINK,98600000,39962585446,635,2025-08-30
UCYzPXprvl5Y-Sf0g4vX-m6g,jacksepticeye,31000000,17314471311,5263,2025-08-30
UC8-Th83bH_thdKZDJCrn88g,The Tonight Show Starring Jimmy Fallon,32700000,18733626250,12729,2025-08-30
UCY1kMZp36IQSyNx_9h4mpCg,Mark Rober,70700000,13964428792,226,2025-08-30
UCFFbwnve3yF62-tVXkTyHqg,Zee Music Company,120000000,80993220226,14718,2025-08-30
UCaWd5_7JhbQBe4dknZhsHJg,WatchMojo.com,25900000,17636588175,30774,2025-08-30
UCk8GzjMOrta8yxDcKfylJYw,✿ Kids Diana Show,136000000,118560432616,1414,2025-08-30
UCLkAepWjdylmXSltofFvsYQ,BANGTANTV,81300000,25531146524,2915,2025-08-30
UCZU9T1ceaOgwfLRq7OKFU4Q,Linkin Park,24200000,18971424947,1088,2025-08-30
UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell,24400000,3409052737,301,2025-08-30
UCJplp5SjeGSdVdwsfb9Q7lQ,Like Nastya,130000000,115732252367,981,2025-08-30
UCbCmjCuTUZos6Inko4u57UQ,Cocomelon - Nursery Rhymes,197000000,208186897881,1686,2025-08-30
UCiGm_E4ZwYSHV3bcW1pnSeQ,Billie Eilish,56600000,20227072825,164,2025-08-30
