Channel ID,Channel Title,Subscribers,Total Views,Video Count,Date
UCiGm_E4ZwYSHV3bcW1pnSeQ,Billie Eilish,56600000,20432984331,164,2025-09-06
UCLkAepWjdylmXSltofFvsYQ,BANGTANTV,81300000,25790286363,2916,2025-09-06
UCvlE5gTbOvjiolFlEm-c_Ow,Vlad and Niki,144000000,112041697974,938,2025-09-06
UCRijo3ddMTht_IHyNSNXpNQ,Dude Perfect,61500000,19597375252,509,2025-09-06
UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell,24500000,3417015632,303,2025-09-06
UCOhHO2ICt0ti9KAh-QHvttQ,Technical Guruji,23700000,3890363638,5940,2025-09-06
UC8-Th83bH_thdKZDJCrn88g,The Tonight Show Starring Jimmy Fallon,32800000,18723733824,12767,2025-09-06
UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,110000000,29401191008,4648,2025-09-06
UCY1kMZp36IQSyNx_9h4mpCg,Mark Rober,70900000,14035469586,226,2025-09-06
UCk8GzjMOrta8yxDcKfylJYw,✿ Kids Diana Show,136000000,118759196142,1417,2025-09-06
UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,432000000,94278989730,897,2025-09-06
UCbp9MyKCTEww4CxEzc_Tp0Q,Stokes Twins,131000000,25456729940,390,2025-09-06
UCYzPXprvl5Y-Sf0g4vX-m6g,jacksepticeye,31000000,17321019513,5264,2025-09-06
UCaWd5_7JhbQBe4dknZhsHJg,WatchMojo.com,25900000,17646542728,30831,2025-09-06
UCbCmjCuTUZos6Inko4u57UQ,Cocomelon - Nursery Rhymes,197000000,208186897881,1696,2025-09-06
UCZU9T1ceaOgwfLRq7OKFU4Q,Linkin Park,24200000,18971424947,1088,2025-09-06
UCJplp5SjeGSdVdwsfb9Q7lQ,Like Nastya,130000000,115907831476,982,2025-09-06
UCFFbwnve3yF62-tVXkTyHqg,Zee Music Company,120000000,81201608153,14754,2025-09-06
UCOmHUn--16B90oW2L6FRR3A,BLACKPINK,98700000,39962585446,635,2025-09-06
UCq-Fj5jknLsUf-MWSy4_brA,T-Series,302000000,310857296485,24294,2025-09-06
