Channel ID,Channel Title,Subscribers,Total Views,Video Count,Date
UCRijo3ddMTht_IHyNSNXpNQ,Dude Perfect,61500000,19551952014,506,2025-08-25
UCbCmjCuTUZos6Inko4u57UQ,Cocomelon - Nursery Rhymes,196000000,208186897881,1678,2025-08-25
UCbp9MyKCTEww4CxEzc_Tp0Q,Stokes Twins,130000000,25136360724,388,2025-08-25
UCFFbwnve3yF62-tVXkTyHqg,Zee Music Company,120000000,80841148914,14687,2025-08-25
UCq-Fj5jknLsUf-MWSy4_brA,T-Series,302000000,309439383613,24224,2025-08-25
UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell,24400000,3405069953,300,2025-08-25
UCZU9T1ceaOgwfLRq7OKFU4Q,Linkin Park,24200000,18971424947,1088,2025-08-25
UCJplp5SjeGSdVdwsfb9Q7lQ,Like Nastya,130000000,115595475387,978,2025-08-25
UCk8GzjMOrta8yxDcKfylJYw,✿ Kids Diana Show,136000000,118417877080,1411,2025-08-25
UCYzPXprvl5Y-Sf0g4vX-m6g,jacksepticeye,31000000,17310110112,5263,2025-08-25
UCLkAepWjdylmXSltofFvsYQ,BANGTANTV,81200000,25531146524,2912,2025-08-25
UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,425000000,94159115735,896,2025-08-25
UCvlE5gTbOvjiolFlEm-c_Ow,Vlad and Niki,144000000,111569263247,934,2025-08-25
UCY1kMZp36IQSyNx_9h4mpCg,Mark Rober,70600000,13912936597,225,2025-08-25
UC8-Th83bH_thdKZDJCrn88g,The Tonight Show Starring Jimmy Fallon,32700000,18725445237,12724,2025-08-25
UCOhHO2ICt0ti9KAh-QHvttQ,Technical Guruji,23700000,3885585691,5927,2025-08-25
UCiGm_E4ZwYSHV3bcW1pnSeQ,Billie Eilish,56600000,20227072825,164,2025-08-25
UCOmHUn--16B90oW2L6FRR3A,BLACKPINK,98600000,39559371926,635,2025-08-25
UCaWd5_7JhbQBe4dknZhsHJg,WatchMojo.com,25900000,17628845017,30724,2025-08-25
UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,110000000,29397195014,4648,2025-08-25
