Channel ID,Channel Title,Subscribers,Total Views,Video Count,Date
UCY1kMZp36IQSyNx_9h4mpCg,Mark Rober,70800000,13998387115,225,2025-09-03
UCiGm_E4ZwYSHV3bcW1pnSeQ,Billie Eilish,56600000,20227072825,164,2025-09-03
UCYzPXprvl5Y-Sf0g4vX-m6g,jacksepticeye,31000000,17318621208,5264,2025-09-03
UC8-Th83bH_thdKZDJCrn88g,The Tonight Show Starring Jimmy Fallon,32800000,18739058592,12741,2025-09-03
UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell,24500000,3413200274,302,2025-09-03
UCOmHUn--16B90oW2L6FRR3A,BLACKPINK,98700000,39962585446,635,2025-09-03
UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,430000000,94026759063,897,2025-09-03
UCOhHO2ICt0ti9KAh-QHvttQ,Technical Guruji,23700000,3888976405,5937,2025-09-03
UCRijo3ddMTht_IHyNSNXpNQ,Dude Perfect,61500000,19583276275,508,2025-09-03
UCbp9MyKCTEww4CxEzc_Tp0Q,Stokes Twins,131000000,25393890315,389,2025-09-03
UCk8GzjMOrta8yxDcKfylJYw,✿ Kids Diana Show,136000000,118679576126,1416,2025-09-03
UCq-Fj5jknLsUf-MWSy4_brA,T-Series,302000000,310537505601,24267,2025-09-03
UCvlE5gTbOvjiolFlEm-c_Ow,Vlad and Niki,144000000,111932484004,937,2025-09-03
UCFFbwnve3yF62-tVXkTyHqg,Zee Music Company,120000000,81122552338,14732,2025-09-03
UCaWd5_7JhbQBe4dknZhsHJg,WatchMojo.com,25900000,17642579016,30800,2025-09-03
UCLkAepWjdylmXSltofFvsYQ,BANGTANTV,81300000,25790286363,2916,2025-09-03
UCJplp5SjeGSdVdwsfb9Q7lQ,Like Nastya,130000000,115838592415,981,2025-09-03
UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,110000000,29400340032,4648,2025-09-03
UCbCmjCuTUZos6Inko4u57UQ,Cocomelon - Nursery Rhymes,197000000,208186897881,1691,2025-09-03
UCZU9T1ceaOgwfLRq7OKFU4Q,Linkin Park,24200000,18971424947,1088,2025-09-03
