Channel ID,Channel Title,Subscribers,Total Views,Video Count,Date
UC8-Th83bH_thdKZDJCrn88g,The Tonight Show Starring Jimmy Fallon,32800000,18841244250,12883,2025-09-20
UCbp9MyKCTEww4CxEzc_Tp0Q,Stokes Twins,131000000,25711703870,390,2025-09-20
UCY1kMZp36IQSyNx_9h4mpCg,Mark Rober,71100000,14294641916,228,2025-09-20
UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell,24500000,3432850583,306,2025-09-20
UCJplp5SjeGSdVdwsfb9Q7lQ,Like Nastya,130000000,116271201823,984,2025-09-20
UCZU9T1ceaOgwfLRq7OKFU4Q,Linkin Park,24300000,19162809641,1099,2025-09-20
UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,110000000,29405948119,4648,2025-09-20
UCaWd5_7JhbQBe4dknZhsHJg,WatchMojo.com,25900000,17666919452,30960,2025-09-20
UCbCmjCuTUZos6Inko4u57UQ,Cocomelon - Nursery Rhymes,197000000,210297046845,1715,2025-09-20
UCFFbwnve3yF62-tVXkTyHqg,Zee Music Company,120000000,81642145352,14853,2025-09-20
UCk8GzjMOrta8yxDcKfylJYw,✿ Kids Diana Show,136000000,119134963555,1425,2025-09-20
UCvlE5gTbOvjiolFlEm-c_Ow,Vlad and Niki,145000000,112598139672,943,2025-09-20
UCq-Fj5jknLsUf-MWSy4_brA,T-Series,303000000,312527947504,24408,2025-09-20
UCRijo3ddMTht_IHyNSNXpNQ,Dude Perfect,61500000,19652798800,511,2025-09-20
UCLkAepWjdylmXSltofFvsYQ,BANGTANTV,81400000,25790286363,2920,2025-09-20
UCOhHO2ICt0ti9KAh-QHvttQ,Technical Guruji,23700000,3907458999,5963,2025-09-20
UCOmHUn--16B90oW2L6FRR3A,BLACKPINK,98900000,39962585446,636,2025-09-20
UCiGm_E4ZwYSHV3bcW1pnSeQ,Billie Eilish,56800000,20436882805,168,2025-09-20
UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,438000000,95463198429,901,2025-09-20
UCYzPXprvl5Y-Sf0g4vX-m6g,jacksepticeye,31000000,17332931034,5266,2025-09-20
