Channel ID,Channel Title,Subscribers,Total Views,Video Count,Date
UCaWd5_7JhbQBe4dknZhsHJg,WatchMojo.com,25900000,17657434751,30893,2025-09-14
UCiGm_E4ZwYSHV3bcW1pnSeQ,Billie Eilish,56700000,20436882805,168,2025-09-14
UCFFbwnve3yF62-tVXkTyHqg,Zee Music Company,120000000,81438091600,14808,2025-09-14
UCJplp5SjeGSdVdwsfb9Q7lQ,Like Nastya,130000000,116095290614,983,2025-09-14
UCvlE5gTbOvjiolFlEm-c_Ow,Vlad and Niki,145000000,112334832811,941,2025-09-14
UCk8GzjMOrta8yxDcKfylJYw,✿ Kids Diana Show,136000000,118964419372,1422,2025-09-14
UCLkAepWjdylmXSltofFvsYQ,BANGTANTV,81400000,25790286363,2919,2025-09-14
UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,435000000,94959031976,899,2025-09-14
UCRijo3ddMTht_IHyNSNXpNQ,Dude Perfect,61500000,19632476474,511,2025-09-14
UCq-Fj5jknLsUf-MWSy4_brA,T-Series,303000000,311754607209,24348,2025-09-14
UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,110000000,29403312489,4648,2025-09-14
UCZU9T1ceaOgwfLRq7OKFU4Q,Linkin Park,24200000,19162809641,1095,2025-09-14
UCbp9MyKCTEww4CxEzc_Tp0Q,Stokes Twins,131000000,25626118256,390,2025-09-14
UCbCmjCuTUZos6Inko4u57UQ,Cocomelon - Nursery Rhymes,197000000,208186897881,1706,2025-09-14
UC8-Th83bH_thdKZDJCrn88g,The Tonight Show Starring Jimmy Fallon,32800000,18766206096,12821,2025-09-14
UCOhHO2ICt0ti9KAh-QHvttQ,Technical Guruji,23700000,3901678131,5952,2025-09-14
UCOmHUn--16B90oW2L6FRR3A,BLACKPINK,98800000,39962585446,636,2025-09-14
UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell,24500000,3425311417,305,2025-09-14
UCYzPXprvl5Y-Sf0g4vX-m6g,jacksepticeye,31000000,17327320192,5264,2025-09-14
UCY1kMZp36IQSyNx_9h4mpCg,Mark Rober,71100000,14188052460,227,2025-09-14
