Channel ID,Channel Title,Subscribers,Total Views,Video Count,Date
UCbp9MyKCTEww4CxEzc_Tp0Q,Stokes Twins,131000000,25559128238,390,2025-09-10
UCY1kMZp36IQSyNx_9h4mpCg,Mark Rober,71000000,14124188774,226,2025-09-10
UCq-Fj5jknLsUf-MWSy4_brA,T-Series,303000000,311324662204,24320,2025-09-10
UCk8GzjMOrta8yxDcKfylJYw,✿ Kids Diana Show,136000000,118869927366,1419,2025-09-10
UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,110000000,29402383484,4648,2025-09-10
UCvlE5gTbOvjiolFlEm-c_Ow,Vlad and Niki,145000000,112200179107,940,2025-09-10
UCZU9T1ceaOgwfLRq7OKFU4Q,Linkin Park,24200000,19162809641,1092,2025-09-10
UCbCmjCuTUZos6Inko4u57UQ,Cocomelon - Nursery Rhymes,197000000,208186897881,1700,2025-09-10
UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,433000000,94626372013,897,2025-09-10
UCiGm_E4ZwYSHV3bcW1pnSeQ,Billie Eilish,56700000,20436882805,168,2025-09-10
UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell,24500000,3421404051,305,2025-09-10
UCFFbwnve3yF62-tVXkTyHqg,Zee Music Company,120000000,81322032799,14782,2025-09-10
UCYzPXprvl5Y-Sf0g4vX-m6g,jacksepticeye,31000000,17324297881,5264,2025-09-10
UC8-Th83bH_thdKZDJCrn88g,The Tonight Show Starring Jimmy Fallon,32800000,18757936527,12794,2025-09-10
UCOhHO2ICt0ti9KAh-QHvttQ,Technical Guruji,23700000,3893227412,5947,2025-09-10
UCRijo3ddMTht_IHyNSNXpNQ,Dude Perfect,61500000,19619777142,509,2025-09-10
UCJplp5SjeGSdVdwsfb9Q7lQ,Like Nastya,130000000,116007407674,982,2025-09-10
UCOmHUn--16B90oW2L6FRR3A,BLACKPINK,98800000,39962585446,635,2025-09-10
UCaWd5_7JhbQBe4dknZhsHJg,WatchMojo.com,25900000,17652368895,30867,2025-09-10
UCLkAepWjdylmXSltofFvsYQ,BANGTANTV,81300000,25790286363,2919,2025-09-10
