Channel ID,Channel Title,Subscribers,Total Views,Video Count,Date
UCRijo3ddMTht_IHyNSNXpNQ,Dude Perfect,61500000,19661236558,511,2025-09-22
UCYzPXprvl5Y-Sf0g4vX-m6g,jacksepticeye,31000000,17334941936,5266,2025-09-22
UCaWd5_7JhbQBe4dknZhsHJg,WatchMojo.com,25900000,17669441927,30972,2025-09-22
UCq-Fj5jknLsUf-MWSy4_brA,T-Series,303000000,312743624014,24432,2025-09-22
UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell,24500000,3434775611,307,2025-09-22
UCY1kMZp36IQSyNx_9h4mpCg,Mark Rober,71200000,14337590534,228,2025-09-22
UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,439000000,95638763835,901,2025-09-22
UCiGm_E4ZwYSHV3bcW1pnSeQ,Billie Eilish,56800000,20436882805,169,2025-09-22
UCbp9MyKCTEww4CxEzc_Tp0Q,Stokes Twins,131000000,25747807898,391,2025-09-22
UCOmHUn--16B90oW2L6FRR3A,BLACKPINK,98900000,39962585446,636,2025-09-22
UCvlE5gTbOvjiolFlEm-c_Ow,Vlad and Niki,145000000,112672683083,944,2025-09-22
UCOhHO2ICt0ti9KAh-QHvttQ,Technical Guruji,23700000,3908414063,5965,2025-09-22
UCLkAepWjdylmXSltofFvsYQ,BANGTANTV,81400000,25790286363,2920,2025-09-22
UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,110000000,29406706140,4649,2025-09-22
UCk8GzjMOrta8yxDcKfylJYw,✿ Kids Diana Show,136000000,119183645392,1426,2025-09-22
UC8-Th83bH_thdKZDJCrn88g,The Tonight Show Starring Jimmy Fallon,32800000,18845457879,12897,2025-09-22
UCFFbwnve3yF62-tVXkTyHqg,Zee Music Company,120000000,81694749534,14863,2025-09-22
UCbCmjCuTUZos6Inko4u57UQ,Cocomelon - Nursery Rhymes,197000000,210297046845,1717,2025-09-22
UCJplp5SjeGSdVdwsfb9Q7lQ,Like Nastya,130000000,116324084205,985,2025-09-22
UCZU9T1ceaOgwfLRq7OKFU4Q,Linkin Park,24300000,19162809641,1099,2025-09-22
