Channel ID,Channel Title,Subscribers,Total Views,Video Count,Date
UCJplp5SjeGSdVdwsfb9Q7lQ,Like Nastya,130000000,115982264885,982,2025-09-09
UCRijo3ddMTht_IHyNSNXpNQ,Dude Perfect,61500000,19615894538,509,2025-09-09
UCbCmjCuTUZos6Inko4u57UQ,Cocomelon - Nursery Rhymes,197000000,208186897881,1699,2025-09-09
UCq-Fj5jknLsUf-MWSy4_brA,T-Series,303000000,311198198122,24313,2025-09-09
UCOhHO2ICt0ti9KAh-QHvttQ,Technical Guruji,23700000,3891661978,5943,2025-09-09
UCFFbwnve3yF62-tVXkTyHqg,Zee Music Company,120000000,81288707258,14774,2025-09-09
UCaWd5_7JhbQBe4dknZhsHJg,WatchMojo.com,25900000,17650916875,30854,2025-09-09
UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell,24500000,3420416485,303,2025-09-09
UCLkAepWjdylmXSltofFvsYQ,BANGTANTV,81300000,25790286363,2916,2025-09-09
UCk8GzjMOrta8yxDcKfylJYw,✿ Kids Diana Show,136000000,118840439248,1419,2025-09-09
UCiGm_E4ZwYSHV3bcW1pnSeQ,Billie Eilish,56700000,20436882805,168,2025-09-09
UCY1kMZp36IQSyNx_9h4mpCg,Mark Rober,71000000,14110223507,226,2025-09-09
UCvlE5gTbOvjiolFlEm-c_Ow,Vlad and Niki,145000000,112159884676,939,2025-09-09
UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,433000000,94553048452,897,2025-09-09
UCbp9MyKCTEww4CxEzc_Tp0Q,Stokes Twins,131000000,25537429775,390,2025-09-09
UC8-Th83bH_thdKZDJCrn88g,The Tonight Show Starring Jimmy Fallon,32800000,18728089072,12783,2025-09-09
UCYzPXprvl5Y-Sf0g4vX-m6g,jacksepticeye,31000000,17323480476,5264,2025-09-09
UCOmHUn--16B90oW2L6FRR3A,BLACKPINK,98700000,39962585446,635,2025-09-09
UCZU9T1ceaOgwfLRq7OKFU4Q,Linkin Park,24200000,19162809641,1091,2025-09-09
UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,110000000,29402081841,4648,2025-09-09
