Channel ID,Channel Title,Subscribers,Total Views,Video Count,Date
UCiGm_E4ZwYSHV3bcW1pnSeQ,Billie Eilish,56700000,20436882805,168,2025-09-07
UCaWd5_7JhbQBe4dknZhsHJg,WatchMojo.com,25900000,17648123959,30837,2025-09-07
UCOhHO2ICt0ti9KAh-QHvttQ,Technical Guruji,23700000,3890852645,5941,2025-09-07
UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,110000000,29401512603,4648,2025-09-07
UCYzPXprvl5Y-Sf0g4vX-m6g,jacksepticeye,31000000,17321930702,5264,2025-09-07
UCY1kMZp36IQSyNx_9h4mpCg,Mark Rober,70900000,14075666235,226,2025-09-07
UC8-Th83bH_thdKZDJCrn88g,The Tonight Show Starring Jimmy Fallon,32800000,18726009082,12768,2025-09-07
UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell,24500000,3418383595,303,2025-09-07
UCZU9T1ceaOgwfLRq7OKFU4Q,Linkin Park,24200000,19162809641,1090,2025-09-07
UCbp9MyKCTEww4CxEzc_Tp0Q,Stokes Twins,131000000,25492037778,390,2025-09-07
UCJplp5SjeGSdVdwsfb9Q7lQ,Like Nastya,130000000,115936481200,982,2025-09-07
UCFFbwnve3yF62-tVXkTyHqg,Zee Music Company,120000000,81233675402,14755,2025-09-07
UCOmHUn--16B90oW2L6FRR3A,BLACKPINK,98700000,39962585446,635,2025-09-07
UCLkAepWjdylmXSltofFvsYQ,BANGTANTV,81300000,25790286363,2916,2025-09-07
UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,432000000,94391060683,897,2025-09-07
UCRijo3ddMTht_IHyNSNXpNQ,Dude Perfect,61500000,19606314300,509,2025-09-07
UCvlE5gTbOvjiolFlEm-c_Ow,Vlad and Niki,145000000,112087829541,938,2025-09-07
UCk8GzjMOrta8yxDcKfylJYw,✿ Kids Diana Show,136000000,118789087313,1418,2025-09-07
UCbCmjCuTUZos6Inko4u57UQ,Cocomelon - Nursery Rhymes,197000000,208186897881,1697,2025-09-07
UCq-Fj5jknLsUf-MWSy4_brA,T-Series,302000000,310985516568,24300,2025-09-07
