Channel ID,Channel Title,Subscribers,Total Views,Video Count,Date
UCYzPXprvl5Y-Sf0g4vX-m6g,jacksepticeye,31000000,17330491502,5265,2025-09-18
UCq-Fj5jknLsUf-MWSy4_brA,T-Series,303000000,312254118034,24390,2025-09-18
UCRijo3ddMTht_IHyNSNXpNQ,Dude Perfect,61500000,19647413759,511,2025-09-18
UCJplp5SjeGSdVdwsfb9Q7lQ,Like Nastya,130000000,116209900923,984,2025-09-18
UCZU9T1ceaOgwfLRq7OKFU4Q,Linkin Park,24300000,19162809641,1096,2025-09-18
UCOhHO2ICt0ti9KAh-QHvttQ,Technical Guruji,23700000,3905550619,5960,2025-09-18
UCY1kMZp36IQSyNx_9h4mpCg,Mark Rober,71100000,14257349363,227,2025-09-18
UC8-Th83bH_thdKZDJCrn88g,The Tonight Show Starring Jimmy Fallon,32800000,18767068074,12854,2025-09-18
UCaWd5_7JhbQBe4dknZhsHJg,WatchMojo.com,25900000,17663798968,30939,2025-09-18
UCbp9MyKCTEww4CxEzc_Tp0Q,Stokes Twins,131000000,25683861641,390,2025-09-18
UCvlE5gTbOvjiolFlEm-c_Ow,Vlad and Niki,145000000,112510480410,942,2025-09-18
UCLkAepWjdylmXSltofFvsYQ,BANGTANTV,81400000,25790286363,2920,2025-09-18
UCiGm_E4ZwYSHV3bcW1pnSeQ,Billie Eilish,56700000,20436882805,168,2025-09-18
UCOmHUn--16B90oW2L6FRR3A,BLACKPINK,98800000,39962585446,636,2025-09-18
UCFFbwnve3yF62-tVXkTyHqg,Zee Music Company,120000000,81569094267,14842,2025-09-18
UCbCmjCuTUZos6Inko4u57UQ,Cocomelon - Nursery Rhymes,197000000,210297046845,1712,2025-09-18
UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,437000000,95279430259,900,2025-09-18
UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell,24500000,3430316868,307,2025-09-18
UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,110000000,29404494268,4649,2025-09-18
UCk8GzjMOrta8yxDcKfylJYw,✿ Kids Diana Show,136000000,119078187158,1424,2025-09-18
