Channel ID,Channel Title,Subscribers,Total Views,Video Count,Date
UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,110000000,29396783178,4648,2025-08-24
UCJplp5SjeGSdVdwsfb9Q7lQ,Like Nastya,130000000,115572655556,978,2025-08-24
UCiGm_E4ZwYSHV3bcW1pnSeQ,Billie Eilish,56500000,20227072825,164,2025-08-24
UCq-Fj5jknLsUf-MWSy4_brA,T-Series,301000000,309342577096,24219,2025-08-24
UCk8GzjMOrta8yxDcKfylJYw,✿ Kids Diana Show,136000000,118392145564,1411,2025-08-24
UCFFbwnve3yF62-tVXkTyHqg,Zee Music Company,120000000,80814539613,14686,2025-08-24
UC8-Th83bH_thdKZDJCrn88g,The Tonight Show Starring Jimmy Fallon,32700000,18724269084,12721,2025-08-24
UCRijo3ddMTht_IHyNSNXpNQ,Dude Perfect,61500000,19547399177,506,2025-08-24
UCOmHUn--16B90oW2L6FRR3A,BLACKPINK,98600000,39559371926,635,2025-08-24
UCOhHO2ICt0ti9KAh-QHvttQ,Technical Guruji,23700000,3885314574,5926,2025-08-24
UCaWd5_7JhbQBe4dknZhsHJg,WatchMojo.com,25900000,17627412527,30718,2025-08-24
UCbp9MyKCTEww4CxEzc_Tp0Q,Stokes Twins,130000000,25093861011,388,2025-08-24
UCYzPXprvl5Y-Sf0g4vX-m6g,jacksepticeye,31000000,17309307794,5263,2025-08-24
UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,425000000,94102030389,896,2025-08-24
UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell,24400000,3404246139,300,2025-08-24
UCZU9T1ceaOgwfLRq7OKFU4Q,Linkin Park,24200000,18971424947,1088,2025-08-24
UCvlE5gTbOvjiolFlEm-c_Ow,Vlad and Niki,144000000,111521650227,934,2025-08-24
UCLkAepWjdylmXSltofFvsYQ,BANGTANTV,81200000,25531146524,2912,2025-08-24
UCY1kMZp36IQSyNx_9h4mpCg,Mark Rober,70600000,13902782469,225,2025-08-24
UCbCmjCuTUZos6Inko4u57UQ,Cocomelon - Nursery Rhymes,196000000,208186897881,1677,2025-08-24
