Channel ID,Channel Title,Subscribers,Total Views,Video Count,Date
UCk8GzjMOrta8yxDcKfylJYw,✿ Kids Diana Show,136000000,118353709636,1410,2025-08-23
UCbp9MyKCTEww4CxEzc_Tp0Q,Stokes Twins,130000000,25036282385,388,2025-08-23
UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell,24400000,3403030942,300,2025-08-23
UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,110000000,29396098073,4648,2025-08-23
UCbCmjCuTUZos6Inko4u57UQ,Cocomelon - Nursery Rhymes,196000000,208186897881,1676,2025-08-23
UCq-Fj5jknLsUf-MWSy4_brA,T-Series,301000000,309177311469,24211,2025-08-23
UCOmHUn--16B90oW2L6FRR3A,BLACKPINK,98500000,39559371926,635,2025-08-23
UCYzPXprvl5Y-Sf0g4vX-m6g,jacksepticeye,31000000,17308282255,5263,2025-08-23
UCJplp5SjeGSdVdwsfb9Q7lQ,Like Nastya,130000000,115542054333,978,2025-08-23
UCRijo3ddMTht_IHyNSNXpNQ,Dude Perfect,61500000,19541229909,506,2025-08-23
UC8-Th83bH_thdKZDJCrn88g,The Tonight Show Starring Jimmy Fallon,32700000,18722573934,12719,2025-08-23
UCvlE5gTbOvjiolFlEm-c_Ow,Vlad and Niki,144000000,111433115344,934,2025-08-23
UCaWd5_7JhbQBe4dknZhsHJg,WatchMojo.com,25900000,17625696071,30710,2025-08-23
UCFFbwnve3yF62-tVXkTyHqg,Zee Music Company,120000000,80773011422,14683,2025-08-23
UCZU9T1ceaOgwfLRq7OKFU4Q,Linkin Park,24200000,18971424947,1088,2025-08-23
UCOhHO2ICt0ti9KAh-QHvttQ,Technical Guruji,23700000,3884845281,5925,2025-08-23
UCiGm_E4ZwYSHV3bcW1pnSeQ,Billie Eilish,56500000,20227072825,164,2025-08-23
UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,425000000,94017874038,896,2025-08-23
UCY1kMZp36IQSyNx_9h4mpCg,Mark Rober,70600000,13886176307,225,2025-08-23
UCLkAepWjdylmXSltofFvsYQ,BANGTANTV,81200000,25531146524,2912,2025-08-23
