Channel ID,Channel Title,Subscribers,Total Views,Video Count,Date
UCiGm_E4ZwYSHV3bcW1pnSeQ,Billie Eilish,56700000,20436882805,168,2025-09-15
UCLkAepWjdylmXSltofFvsYQ,BANGTANTV,81400000,25790286363,2919,2025-09-15
UC8-Th83bH_thdKZDJCrn88g,The Tonight Show Starring Jimmy Fallon,32800000,18768638216,12821,2025-09-15
UCZU9T1ceaOgwfLRq7OKFU4Q,Linkin Park,24200000,19162809641,1095,2025-09-15
UCYzPXprvl5Y-Sf0g4vX-m6g,jacksepticeye,31000000,17327989985,5264,2025-09-15
UCOmHUn--16B90oW2L6FRR3A,BLACKPINK,98800000,39962585446,636,2025-09-15
UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell,24500000,3426578174,305,2025-09-15
UCvlE5gTbOvjiolFlEm-c_Ow,Vlad and Niki,145000000,112392994918,941,2025-09-15
UCY1kMZp36IQSyNx_9h4mpCg,Mark Rober,71100000,14221213325,227,2025-09-15
UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,110000000,29403715906,4648,2025-09-15
UCFFbwnve3yF62-tVXkTyHqg,Zee Music Company,120000000,81480438404,14819,2025-09-15
UCk8GzjMOrta8yxDcKfylJYw,✿ Kids Diana Show,136000000,119002407134,1422,2025-09-15
UCJplp5SjeGSdVdwsfb9Q7lQ,Like Nastya,130000000,116134933858,983,2025-09-15
UCOhHO2ICt0ti9KAh-QHvttQ,Technical Guruji,23700000,3902831299,5954,2025-09-15
UCRijo3ddMTht_IHyNSNXpNQ,Dude Perfect,61500000,19638559599,511,2025-09-15
UCbp9MyKCTEww4CxEzc_Tp0Q,Stokes Twins,131000000,25648609734,390,2025-09-15
UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,435000000,95027821020,899,2025-09-15
UCaWd5_7JhbQBe4dknZhsHJg,WatchMojo.com,25900000,17659794726,30902,2025-09-15
UCbCmjCuTUZos6Inko4u57UQ,Cocomelon - Nursery Rhymes,197000000,208186897881,1707,2025-09-15
UCq-Fj5jknLsUf-MWSy4_brA,T-Series,303000000,311911926199,24353,2025-09-15
