Channel ID,Channel Title,Subscribers,Total Views,Video Count,Date
UCJplp5SjeGSdVdwsfb9Q7lQ,Like Nastya,130000000,115960552083,982,2025-09-08
UCk8GzjMOrta8yxDcKfylJYw,✿ Kids Diana Show,136000000,118815895306,1418,2025-09-08
UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell,24500000,3419505339,303,2025-09-08
UCaWd5_7JhbQBe4dknZhsHJg,WatchMojo.com,25900000,17649523302,30846,2025-09-08
UCOhHO2ICt0ti9KAh-QHvttQ,Technical Guruji,23700000,3891281785,5942,2025-09-08
UCvlE5gTbOvjiolFlEm-c_Ow,Vlad and Niki,145000000,112124444917,938,2025-09-08
UCY1kMZp36IQSyNx_9h4mpCg,Mark Rober,70900000,14096486179,226,2025-09-08
UCbCmjCuTUZos6Inko4u57UQ,Cocomelon - Nursery Rhymes,197000000,208186897881,1698,2025-09-08
UCRijo3ddMTht_IHyNSNXpNQ,Dude Perfect,61500000,19611781218,509,2025-09-08
UCq-Fj5jknLsUf-MWSy4_brA,T-Series,303000000,311095318829,24306,2025-09-08
UCiGm_E4ZwYSHV3bcW1pnSeQ,Billie Eilish,56700000,20436882805,168,2025-09-08
UCLkAepWjdylmXSltofFvsYQ,BANGTANTV,81300000,25790286363,2916,2025-09-08
UCbp9MyKCTEww4CxEzc_Tp0Q,Stokes Twins,131000000,25516420143,390,2025-09-08
UCFFbwnve3yF62-tVXkTyHqg,Zee Music Company,120000000,81261723388,14767,2025-09-08
UCZU9T1ceaOgwfLRq7OKFU4Q,Linkin Park,24200000,19162809641,1090,2025-09-08
UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,110000000,29401816290,4648,2025-09-08
UC8-Th83bH_thdKZDJCrn88g,The Tonight Show Starring Jimmy Fallon,32800000,18727170147,12769,2025-09-08
UCOmHUn--16B90oW2L6FRR3A,BLACKPINK,98700000,39962585446,635,2025-09-08
UCYzPXprvl5Y-Sf0g4vX-m6g,jacksepticeye,31000000,17322793337,5264,2025-09-08
UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,433000000,94480134585,897,2025-09-08
