Channel ID,Channel Title,Subscribers,Total Views,Video Count,Date
UCFFbwnve3yF62-tVXkTyHqg,Zee Music Company,120000000,81673298829,14855,2025-09-21
UCiGm_E4ZwYSHV3bcW1pnSeQ,Billie Eilish,56800000,20436882805,169,2025-09-21
UCbp9MyKCTEww4CxEzc_Tp0Q,Stokes Twins,131000000,25725376191,391,2025-09-21
UCYzPXprvl5Y-Sf0g4vX-m6g,jacksepticeye,31000000,17334063520,5266,2025-09-21
UCk8GzjMOrta8yxDcKfylJYw,✿ Kids Diana Show,136000000,119162903767,1426,2025-09-21
UCJplp5SjeGSdVdwsfb9Q7lQ,Like Nastya,130000000,116301731509,985,2025-09-21
UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell,24500000,3433895022,307,2025-09-21
UCLkAepWjdylmXSltofFvsYQ,BANGTANTV,81400000,25790286363,2920,2025-09-21
UCRijo3ddMTht_IHyNSNXpNQ,Dude Perfect,61500000,19657402413,511,2025-09-21
UCOhHO2ICt0ti9KAh-QHvttQ,Technical Guruji,23700000,3908012935,5964,2025-09-21
UCY1kMZp36IQSyNx_9h4mpCg,Mark Rober,71200000,14321041671,228,2025-09-21
UCOmHUn--16B90oW2L6FRR3A,BLACKPINK,98900000,39962585446,636,2025-09-21
UC8-Th83bH_thdKZDJCrn88g,The Tonight Show Starring Jimmy Fallon,32800000,18843714750,12886,2025-09-21
UCq-Fj5jknLsUf-MWSy4_brA,T-Series,303000000,312657079985,24418,2025-09-21
UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,438000000,95576264838,901,2025-09-21
UCaWd5_7JhbQBe4dknZhsHJg,WatchMojo.com,25900000,17668273846,30965,2025-09-21
UCbCmjCuTUZos6Inko4u57UQ,Cocomelon - Nursery Rhymes,197000000,210297046845,1716,2025-09-21
UCZU9T1ceaOgwfLRq7OKFU4Q,Linkin Park,24300000,19162809641,1099,2025-09-21
UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,110000000,29406378619,4649,2025-09-21
UCvlE5gTbOvjiolFlEm-c_Ow,Vlad and Niki,145000000,112641335855,944,2025-09-21
