Area Type,Area Name,Date,Year,Month,Seasonally Adjusted,Status,Labor Force,Employment,Unemployment,Unemployment Rate,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",01/01/1990,1990,January,Y,Final,"1,377,778","1,337,186","40,592",2.9%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",02/01/1990,1990,February,Y,Final,"1,378,046","1,337,724","40,322",2.9%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",03/01/1990,1990,March,Y,Final,"1,378,209","1,337,968","40,241",2.9%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",04/01/1990,1990,April,Y,Final,"1,356,115","1,314,817","41,298",3.0%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",05/01/1990,1990,May,Y,Final,"1,354,191","1,311,210","42,981",3.2%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",06/01/1990,1990,June,Y,Final,"1,351,608","1,306,478","45,130",3.3%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",07/01/1990,1990,July,Y,Final,"1,348,483","1,300,953","47,530",3.5%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",08/01/1990,1990,August,Y,Final,"1,345,500","1,295,615","49,885",3.7%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",09/01/1990,1990,September,Y,Final,"1,342,580","1,290,318","52,262",3.9%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",10/01/1990,1990,October,Y,Final,"1,339,750","1,284,957","54,793",4.1%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",11/01/1990,1990,November,Y,Final,"1,337,092","1,279,645","57,447",4.3%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",12/01/1990,1990,December,Y,Final,"1,334,537","1,274,463","60,074",4.5%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",01/01/1991,1991,January,Y,Final,"1,332,006","1,269,378","62,628",4.7%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",02/01/1991,1991,February,Y,Final,"1,329,557","1,264,517","65,040",4.9%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",03/01/1991,1991,March,Y,Final,"1,327,056","1,259,886","67,170",5.1%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",04/01/1991,1991,April,Y,Final,"1,324,536","1,255,698","68,838",5.2%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",05/01/1991,1991,May,Y,Final,"1,322,326","1,252,268","70,058",5.3%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",06/01/1991,1991,June,Y,Final,"1,320,497","1,249,569","70,928",5.4%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",07/01/1991,1991,July,Y,Final,"1,318,824","1,247,304","71,520",5.4%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",08/01/1991,1991,August,Y,Final,"1,317,161","1,245,119","72,042",5.5%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",09/01/1991,1991,September,Y,Final,"1,315,417","1,242,738","72,679",5.5%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",10/01/1991,1991,October,Y,Final,"1,313,829","1,240,251","73,578",5.6%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",11/01/1991,1991,November,Y,Final,"1,312,616","1,237,687","74,929",5.7%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",12/01/1991,1991,December,Y,Final,"1,311,756","1,234,990","76,766",5.9%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",01/01/1992,1992,January,Y,Final,"1,328,871","1,249,909","78,962",5.9%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",02/01/1992,1992,February,Y,Final,"1,328,773","1,247,449","81,324",6.1%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",03/01/1992,1992,March,Y,Final,"1,329,000","1,245,323","83,677",6.3%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",04/01/1992,1992,April,Y,Final,"1,329,444","1,243,520","85,924",6.5%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",05/01/1992,1992,May,Y,Final,"1,329,732","1,241,890","87,842",6.6%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",06/01/1992,1992,June,Y,Final,"1,329,790","1,240,416","89,374",6.7%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",07/01/1992,1992,July,Y,Final,"1,330,051","1,239,211","90,840",6.8%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",08/01/1992,1992,August,Y,Final,"1,330,718","1,238,396","92,322",6.9%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",09/01/1992,1992,September,Y,Final,"1,331,527","1,237,854","93,673",7.0%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",10/01/1992,1992,October,Y,Final,"1,332,004","1,237,304","94,700",7.1%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",11/01/1992,1992,November,Y,Final,"1,331,727","1,236,490","95,237",7.2%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",12/01/1992,1992,December,Y,Final,"1,330,774","1,235,524","95,250",7.2%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",01/01/1993,1993,January,Y,Final,"1,329,292","1,234,529","94,763",7.1%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",02/01/1993,1993,February,Y,Final,"1,327,668","1,233,714","93,954",7.1%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",03/01/1993,1993,March,Y,Final,"1,326,491","1,233,437","93,054",7.0%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",04/01/1993,1993,April,Y,Final,"1,325,893","1,233,725","92,168",7.0%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",05/01/1993,1993,May,Y,Final,"1,325,819","1,234,362","91,457",6.9%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",06/01/1993,1993,June,Y,Final,"1,326,123","1,235,186","90,937",6.9%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",07/01/1993,1993,July,Y,Final,"1,326,308","1,235,928","90,380",6.8%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",08/01/1993,1993,August,Y,Final,"1,326,279","1,236,485","89,794",6.8%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",09/01/1993,1993,September,Y,Final,"1,326,547","1,237,236","89,311",6.7%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",10/01/1993,1993,October,Y,Final,"1,327,294","1,238,392","88,902",6.7%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",11/01/1993,1993,November,Y,Final,"1,328,460","1,239,950","88,510",6.7%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",12/01/1993,1993,December,Y,Final,"1,329,853","1,241,916","87,937",6.6%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",01/01/1994,1994,January,Y,Final,"1,331,136","1,244,206","86,930",6.5%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",02/01/1994,1994,February,Y,Final,"1,331,890","1,246,506","85,384",6.4%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",03/01/1994,1994,March,Y,Final,"1,331,908","1,248,482","83,426",6.3%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",04/01/1994,1994,April,Y,Final,"1,331,553","1,250,258","81,295",6.1%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",05/01/1994,1994,May,Y,Final,"1,331,267","1,252,062","79,205",5.9%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",06/01/1994,1994,June,Y,Final,"1,331,148","1,253,870","77,278",5.8%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",07/01/1994,1994,July,Y,Final,"1,331,357","1,255,834","75,523",5.7%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",08/01/1994,1994,August,Y,Final,"1,331,679","1,257,796","73,883",5.5%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",09/01/1994,1994,September,Y,Final,"1,331,484","1,259,212","72,272",5.4%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",10/01/1994,1994,October,Y,Final,"1,330,483","1,259,911","70,572",5.3%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",11/01/1994,1994,November,Y,Final,"1,328,881","1,259,952","68,929",5.2%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",12/01/1994,1994,December,Y,Final,"1,326,853","1,259,150","67,703",5.1%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",01/01/1995,1995,January,Y,Final,"1,324,599","1,257,476","67,123",5.1%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",02/01/1995,1995,February,Y,Final,"1,322,508","1,255,383","67,125",5.1%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",03/01/1995,1995,March,Y,Final,"1,320,892","1,253,415","67,477",5.1%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",04/01/1995,1995,April,Y,Final,"1,319,850","1,251,933","67,917",5.1%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",05/01/1995,1995,May,Y,Final,"1,319,360","1,251,135","68,225",5.2%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",06/01/1995,1995,June,Y,Final,"1,319,208","1,250,937","68,271",5.2%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",07/01/1995,1995,July,Y,Final,"1,319,042","1,251,022","68,020",5.2%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",08/01/1995,1995,August,Y,Final,"1,318,673","1,251,238","67,435",5.1%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",09/01/1995,1995,September,Y,Final,"1,318,318","1,251,736","66,582",5.1%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",10/01/1995,1995,October,Y,Final,"1,318,281","1,252,652","65,629",5.0%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",11/01/1995,1995,November,Y,Final,"1,318,690","1,254,125","64,565",4.9%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",12/01/1995,1995,December,Y,Final,"1,319,799","1,256,379","63,420",4.8%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",01/01/1996,1996,January,Y,Final,"1,321,841","1,259,515","62,326",4.7%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",02/01/1996,1996,February,Y,Final,"1,324,511","1,263,197","61,314",4.6%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",03/01/1996,1996,March,Y,Final,"1,327,145","1,266,804","60,341",4.5%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",04/01/1996,1996,April,Y,Final,"1,329,170","1,269,907","59,263",4.5%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",05/01/1996,1996,May,Y,Final,"1,330,615","1,272,656","57,959",4.4%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",06/01/1996,1996,June,Y,Final,"1,331,842","1,275,373","56,469",4.2%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",07/01/1996,1996,July,Y,Final,"1,333,316","1,278,343","54,973",4.1%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",08/01/1996,1996,August,Y,Final,"1,335,411","1,281,729","53,682",4.0%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",09/01/1996,1996,September,Y,Final,"1,337,978","1,285,290","52,688",3.9%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",10/01/1996,1996,October,Y,Final,"1,340,718","1,288,738","51,980",3.9%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",11/01/1996,1996,November,Y,Final,"1,343,503","1,292,075","51,428",3.8%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",12/01/1996,1996,December,Y,Final,"1,346,211","1,295,382","50,829",3.8%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",01/01/1997,1997,January,Y,Final,"1,348,830","1,298,766","50,064",3.7%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",02/01/1997,1997,February,Y,Final,"1,351,800","1,302,669","49,131",3.6%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",03/01/1997,1997,March,Y,Final,"1,355,659","1,307,600","48,059",3.5%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",04/01/1997,1997,April,Y,Final,"1,360,530","1,313,458","47,072",3.5%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",05/01/1997,1997,May,Y,Final,"1,365,946","1,319,627","46,319",3.4%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",06/01/1997,1997,June,Y,Final,"1,371,542","1,325,829","45,713",3.3%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",07/01/1997,1997,July,Y,Final,"1,376,988","1,331,865","45,123",3.3%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",08/01/1997,1997,August,Y,Final,"1,382,092","1,337,598","44,494",3.2%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",09/01/1997,1997,September,Y,Final,"1,387,111","1,343,334","43,777",3.2%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",10/01/1997,1997,October,Y,Final,"1,392,200","1,349,135","43,065",3.1%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",11/01/1997,1997,November,Y,Final,"1,397,227","1,354,786","42,441",3.0%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",12/01/1997,1997,December,Y,Final,"1,402,170","1,360,250","41,920",3.0%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",01/01/1998,1998,January,Y,Final,"1,407,007","1,365,465","41,542",3.0%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",02/01/1998,1998,February,Y,Final,"1,411,495","1,370,172","41,323",2.9%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",03/01/1998,1998,March,Y,Final,"1,415,353","1,374,136","41,217",2.9%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",04/01/1998,1998,April,Y,Final,"1,418,739","1,377,591","41,148",2.9%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",05/01/1998,1998,May,Y,Final,"1,421,951","1,380,842","41,109",2.9%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",06/01/1998,1998,June,Y,Final,"1,425,041","1,383,877","41,164",2.9%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",07/01/1998,1998,July,Y,Final,"1,427,961","1,386,681","41,280",2.9%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",08/01/1998,1998,August,Y,Final,"1,430,816","1,389,455","41,361",2.9%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",09/01/1998,1998,September,Y,Final,"1,433,707","1,392,317","41,390",2.9%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",10/01/1998,1998,October,Y,Final,"1,436,834","1,395,527","41,307",2.9%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",11/01/1998,1998,November,Y,Final,"1,440,350","1,399,220","41,130",2.9%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",12/01/1998,1998,December,Y,Final,"1,444,096","1,403,178","40,918",2.8%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",01/01/1999,1999,January,Y,Final,"1,447,660","1,407,038","40,622",2.8%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",02/01/1999,1999,February,Y,Final,"1,450,806","1,410,519","40,287",2.8%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",03/01/1999,1999,March,Y,Final,"1,453,440","1,413,462","39,978",2.8%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",04/01/1999,1999,April,Y,Final,"1,455,460","1,415,783","39,677",2.7%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",05/01/1999,1999,May,Y,Final,"1,456,989","1,417,608","39,381",2.7%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",06/01/1999,1999,June,Y,Final,"1,458,471","1,419,352","39,119",2.7%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",07/01/1999,1999,July,Y,Final,"1,460,638","1,421,744","38,894",2.7%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",08/01/1999,1999,August,Y,Final,"1,463,103","1,424,399","38,704",2.6%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",09/01/1999,1999,September,Y,Final,"1,465,708","1,427,172","38,536",2.6%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",10/01/1999,1999,October,Y,Final,"1,467,741","1,429,340","38,401",2.6%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",11/01/1999,1999,November,Y,Final,"1,468,085","1,429,691","38,394",2.6%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",12/01/1999,1999,December,Y,Final,"1,467,848","1,429,444","38,404",2.6%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",01/01/2000,2000,January,Y,Final,"1,478,013","1,425,427","52,586",3.6%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",02/01/2000,2000,February,Y,Final,"1,478,039","1,425,432","52,607",3.6%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",03/01/2000,2000,March,Y,Final,"1,478,667","1,425,911","52,756",3.6%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",04/01/2000,2000,April,Y,Final,"1,479,925","1,426,935","52,990",3.6%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",05/01/2000,2000,May,Y,Final,"1,481,123","1,427,963","53,160",3.6%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",06/01/2000,2000,June,Y,Final,"1,482,115","1,429,046","53,069",3.6%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",07/01/2000,2000,July,Y,Final,"1,482,722","1,430,168","52,554",3.5%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",08/01/2000,2000,August,Y,Final,"1,483,300","1,431,593","51,707",3.5%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",09/01/2000,2000,September,Y,Final,"1,484,466","1,433,704","50,762",3.4%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",10/01/2000,2000,October,Y,Final,"1,486,358","1,436,421","49,937",3.4%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",11/01/2000,2000,November,Y,Final,"1,489,038","1,439,466","49,572",3.3%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",12/01/2000,2000,December,Y,Final,"1,492,438","1,442,572","49,866",3.3%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",01/01/2001,2001,January,Y,Final,"1,496,480","1,445,723","50,757",3.4%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",02/01/2001,2001,February,Y,Final,"1,500,764","1,448,756","52,008",3.5%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",03/01/2001,2001,March,Y,Final,"1,504,307","1,450,976","53,331",3.5%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",04/01/2001,2001,April,Y,Final,"1,506,341","1,451,796","54,545",3.6%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",05/01/2001,2001,May,Y,Final,"1,507,084","1,451,316","55,768",3.7%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",06/01/2001,2001,June,Y,Final,"1,507,134","1,449,810","57,324",3.8%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",07/01/2001,2001,July,Y,Final,"1,507,211","1,447,798","59,413",3.9%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",08/01/2001,2001,August,Y,Final,"1,507,729","1,445,683","62,046",4.1%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",09/01/2001,2001,September,Y,Final,"1,509,096","1,444,105","64,991",4.3%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",10/01/2001,2001,October,Y,Final,"1,511,451","1,443,556","67,895",4.5%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",11/01/2001,2001,November,Y,Final,"1,514,468","1,444,044","70,424",4.7%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",12/01/2001,2001,December,Y,Final,"1,517,673","1,445,271","72,402",4.8%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",01/01/2002,2002,January,Y,Final,"1,520,757","1,446,868","73,889",4.9%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",02/01/2002,2002,February,Y,Final,"1,523,281","1,448,285","74,996",4.9%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",03/01/2002,2002,March,Y,Final,"1,524,974","1,449,130","75,844",5.0%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",04/01/2002,2002,April,Y,Final,"1,525,763","1,449,294","76,469",5.0%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",05/01/2002,2002,May,Y,Final,"1,525,957","1,449,113","76,844",5.0%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",06/01/2002,2002,June,Y,Final,"1,526,046","1,449,112","76,934",5.0%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",07/01/2002,2002,July,Y,Final,"1,526,453","1,449,513","76,940",5.0%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",08/01/2002,2002,August,Y,Final,"1,527,612","1,450,619","76,993",5.0%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",09/01/2002,2002,September,Y,Final,"1,529,754","1,452,635","77,119",5.0%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",10/01/2002,2002,October,Y,Final,"1,532,545","1,455,270","77,275",5.0%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",11/01/2002,2002,November,Y,Final,"1,535,614","1,458,289","77,325",5.0%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",12/01/2002,2002,December,Y,Final,"1,538,473","1,461,314","77,159",5.0%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",01/01/2003,2003,January,Y,Final,"1,540,743","1,463,836","76,907",5.0%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",02/01/2003,2003,February,Y,Final,"1,542,574","1,465,896","76,678",5.0%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",03/01/2003,2003,March,Y,Final,"1,544,325","1,467,851","76,474",5.0%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",04/01/2003,2003,April,Y,Final,"1,545,746","1,469,505","76,241",4.9%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",05/01/2003,2003,May,Y,Final,"1,546,753","1,470,806","75,947",4.9%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",06/01/2003,2003,June,Y,Final,"1,547,891","1,472,288","75,603",4.9%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",07/01/2003,2003,July,Y,Final,"1,549,571","1,474,453","75,118",4.8%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",08/01/2003,2003,August,Y,Final,"1,551,748","1,477,288","74,460",4.8%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",09/01/2003,2003,September,Y,Final,"1,554,335","1,480,701","73,634",4.7%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",10/01/2003,2003,October,Y,Final,"1,557,275","1,484,490","72,785",4.7%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",11/01/2003,2003,November,Y,Final,"1,560,192","1,488,098","72,094",4.6%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",12/01/2003,2003,December,Y,Final,"1,562,596","1,490,995","71,601",4.6%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",01/01/2004,2004,January,Y,Final,"1,564,336","1,493,097","71,239",4.6%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",02/01/2004,2004,February,Y,Final,"1,565,600","1,494,695","70,905",4.5%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",03/01/2004,2004,March,Y,Final,"1,566,957","1,496,463","70,494",4.5%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",04/01/2004,2004,April,Y,Final,"1,568,792","1,499,013","69,779",4.4%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",05/01/2004,2004,May,Y,Final,"1,571,069","1,502,429","68,640",4.4%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",06/01/2004,2004,June,Y,Final,"1,573,568","1,506,422","67,146",4.3%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",07/01/2004,2004,July,Y,Final,"1,576,222","1,510,598","65,624",4.2%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",08/01/2004,2004,August,Y,Final,"1,578,766","1,514,392","64,374",4.1%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",09/01/2004,2004,September,Y,Final,"1,580,943","1,517,372","63,571",4.0%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",10/01/2004,2004,October,Y,Final,"1,582,636","1,519,452","63,184",4.0%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",11/01/2004,2004,November,Y,Final,"1,583,751","1,520,760","62,991",4.0%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",12/01/2004,2004,December,Y,Final,"1,584,558","1,521,711","62,847",4.0%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",01/01/2005,2005,January,Y,Final,"1,585,438","1,522,860","62,578",3.9%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",02/01/2005,2005,February,Y,Final,"1,586,681","1,524,596","62,085",3.9%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",03/01/2005,2005,March,Y,Final,"1,588,611","1,527,262","61,349",3.9%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",04/01/2005,2005,April,Y,Final,"1,591,566","1,531,077","60,489",3.8%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",05/01/2005,2005,May,Y,Final,"1,595,333","1,535,712","59,621",3.7%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",06/01/2005,2005,June,Y,Final,"1,598,903","1,539,954","58,949",3.7%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",07/01/2005,2005,July,Y,Final,"1,601,362","1,542,719","58,643",3.7%,,
Metro Division,"Anaheim-Santa Ana-Irvine, CA Met Div",08/01/2005,2005,August,Y,Final,"1,602,299","1,543,718","58,581",3.7%,,
